target_lang,script,subword_alignment_coverage,subword_alignment_density,n_sentences,n_source_subwords,n_target_subwords,n_aligned_source_subwords,n_alignment_links,model,source
de,Latin,0.8582651028988715,1.0392786014605002,1012,27114,36020,23271,28179,gemma3,flores
hi,Devanagari,0.7787858670797374,0.9872021833739028,1012,27114,35521,21116,26767,gemma3,flores
ig,Latin,0.7987017776794276,1.633621007597551,1012,27114,58748,21656,44294,gemma3,flores
it,Latin,0.8695507855720293,1.0453640185881832,1012,27114,37313,23577,28344,gemma3,flores
ko,Hangul,0.6862875267389541,1.0573504462639227,1012,27114,37268,18608,28669,gemma3,flores
ru,Cyrillic,0.8125691524673601,1.028066681419193,1012,27114,37023,22032,27875,gemma3,flores
tr,Latin,0.7295493103193922,1.0710334144722284,1012,27114,37141,19781,29040,gemma3,flores
ur,Arabic,0.7894814486980896,1.1403702884118905,1012,27114,41163,21406,30920,gemma3,flores
yo,Latin,0.6962086007228738,1.7952349339824445,1012,27114,65233,18877,48676,gemma3,flores
de,Latin,0.9054252375796945,1.1758611010866515,2340,124695,154023,112902,146624,gemma3,canonical_active
hi,Devanagari,0.8763944023417137,1.1210633946830266,2340,124695,147525,109282,139791,gemma3,canonical_active
ig,Latin,0.9139259793897109,1.8043867035566783,2340,124695,255996,113962,224998,gemma3,canonical_active
it,Latin,0.8606920886964192,1.177031957977465,2340,124695,153888,107324,146770,gemma3,canonical_active
ko,Hangul,0.7853402301615943,1.2325434059104214,2340,124695,159648,97928,153692,gemma3,canonical_active
ru,Cyrillic,0.8786398813103974,1.267556838686395,2340,124695,164079,109562,158058,gemma3,canonical_active
tr,Latin,0.792261117125787,1.1928224868679578,2340,124695,155343,98791,148739,gemma3,canonical_active
ur,Arabic,0.863747544007378,1.3055936485023458,2340,124695,170607,107705,162801,gemma3,canonical_active
yo,Latin,0.940871727013914,2.334824972933959,2340,124695,327051,117322,291141,gemma3,canonical_active
de,Latin,0.890180039295882,1.1673202614379086,2340,124695,155895,111001,145559,gemma3,canonical_revoked
hi,Devanagari,0.8635630939492361,1.136629375676651,2340,124695,148461,107682,141732,gemma3,canonical_revoked
ig,Latin,0.9101487629816752,1.767175909218493,2340,124695,255060,113491,220358,gemma3,canonical_revoked
it,Latin,0.8598580536509082,1.2049881711375756,2340,124695,156228,107220,150256,gemma3,canonical_revoked
ko,Hangul,0.7878583744336181,1.25318577328682,2340,124695,160116,98242,156266,gemma3,canonical_revoked
ru,Cyrillic,0.8563294438429768,1.2820722563053852,2340,124695,166419,106780,159868,gemma3,canonical_revoked
tr,Latin,0.7515698303861422,1.2249087774168972,2340,124695,157683,93717,152740,gemma3,canonical_revoked
ur,Arabic,0.8511327639440234,1.321424275231565,2340,124695,171543,106132,164775,gemma3,canonical_revoked
yo,Latin,0.9303741128353181,2.3518424956894823,2340,124695,323775,116013,293263,gemma3,canonical_revoked
de,Latin,0.8641566375915498,1.1725736999006293,1012,27171,42974,23480,31860,llama3,flores
hi,Devanagari,0.7953332597254426,2.0089801626734385,1012,27171,68512,21610,54586,llama3,flores
ig,Latin,0.780979721026094,1.7620992970446432,1012,27171,65212,21220,47878,llama3,flores
it,Latin,0.8689411504913327,1.206911780942917,1012,27171,44511,23610,32793,llama3,flores
ko,Hangul,0.6622501932207132,1.1262007287181186,1012,27171,40439,17994,30600,llama3,flores
ru,Cyrillic,0.8142872915976592,1.1904604173567406,1012,27171,43916,22125,32346,llama3,flores
tr,Latin,0.7152846785175371,1.0741231460012512,1012,27171,38095,19435,29185,llama3,flores
ur,Arabic,0.7976151043391851,2.389680173714622,1012,27171,83511,21672,64930,llama3,flores
yo,Latin,0.6927606639431747,1.9829229693423136,1012,27171,73947,18823,53878,llama3,flores
de,Latin,0.9014925373134328,1.351284897824925,2340,121605,173652,109626,164323,llama3,canonical_active
hi,Devanagari,0.8809999588832697,2.136170387730768,2340,121605,292842,107134,259769,llama3,canonical_active
ig,Latin,0.9257678549401751,2.0136343077998435,2340,121605,282012,112578,244868,llama3,canonical_active
it,Latin,0.891336704905226,1.4151062867480777,2340,121605,185619,108391,172084,llama3,canonical_active
ko,Hangul,0.7950248756218905,1.404366596768225,2340,121605,174480,96679,170778,llama3,canonical_active
ru,Cyrillic,0.8641009826898565,1.5225936433534806,2340,121605,192342,105079,185155,llama3,canonical_active
tr,Latin,0.7641708811315324,1.219900497512438,2340,121605,161370,92927,148346,llama3,canonical_active
ur,Arabic,0.9226512067760372,2.4152460836314296,2340,121605,352062,112199,293706,llama3,canonical_active
yo,Latin,0.939607746392007,2.6481641379877474,2340,121605,366267,114261,322030,llama3,canonical_active
de,Latin,0.9124789276756712,1.3713909789893508,2340,121605,175524,110962,166768,llama3,canonical_revoked
hi,Devanagari,0.8816167098392336,2.147074544632211,2340,121605,292842,107209,261095,llama3,canonical_revoked
ig,Latin,0.9260885654372765,2.0126639529624604,2340,121605,282012,112617,244750,llama3,canonical_revoked
it,Latin,0.8897660458040376,1.4671025040088812,2340,121605,187491,108200,178407,llama3,canonical_revoked
