language,script,tokens_per_word,tokens_per_char,vocab_used,n_sentences,n_words,n_tokens,n_chars,model,source
de,Latin,1.6553308823529411,0.23418655605328687,7392,1012,21760,36020,153809,gemma3,flores
en,Latin,1.2380256609287248,0.20546201294272767,6693,1012,21901,27114,131966,gemma3,flores
hi,Devanagari,1.385212338649924,0.27103267255718844,5288,1012,25643,35521,131058,gemma3,flores
ig,Latin,2.357747722438496,0.4365933412604043,3194,1012,24917,58748,134560,gemma3,flores
it,Latin,1.5348196289745384,0.23897449691939182,6643,1012,24311,37313,156138,gemma3,flores
ko,Hangul,2.415294880103694,0.5649662699916622,3549,1012,15430,37268,65965,gemma3,flores
ru,Cyrillic,1.8836428389722717,0.2605492061704763,6810,1012,19655,37023,142096,gemma3,flores
tr,Latin,2.1092055199045943,0.27357837360047144,5499,1012,17609,37141,135760,gemma3,flores
ur,Arabic,1.4885545872057282,0.3168358746603653,3189,1012,27653,41163,129919,gemma3,flores
yo,Latin,2.5879949218440053,0.5142773800889281,3212,1012,25206,65233,126844,gemma3,flores
de,Latin,1.638194001276324,0.2431701494799462,464,2340,94020,154023,633396,gemma3,canonical_active
en,Latin,1.3025697273581949,0.23267595541846964,305,2340,95730,124695,535917,gemma3,canonical_active
hi,Devanagari,1.3076718521473207,0.2552529950376845,367,2340,112815,147525,577956,gemma3,canonical_active
ig,Latin,2.4014859426448654,0.4913484847612412,318,2340,106599,255996,521007,gemma3,canonical_active
it,Latin,1.6123212321232123,0.2529438450462534,425,2340,95445,153888,608388,gemma3,canonical_active
ko,Hangul,2.310725141120278,0.5896117709625953,400,2340,69090,159648,270768,gemma3,canonical_active
ru,Cyrillic,1.8856404068264092,0.2712852232313362,494,2340,87015,164079,604821,gemma3,canonical_active
tr,Latin,2.0203277409285993,0.2833108097017579,505,2340,76890,155343,548313,gemma3,canonical_active
ur,Arabic,1.422578547128277,0.3064673453220739,380,2340,119928,170607,556689,gemma3,canonical_active
yo,Latin,2.953509793828398,0.6035877418819035,291,2340,110733,327051,541845,gemma3,canonical_active
de,Latin,1.6581046585832802,0.24414135909193416,468,2340,94020,155895,638544,gemma3,canonical_revoked
en,Latin,1.3025697273581949,0.23106172208108425,305,2340,95730,124695,539661,gemma3,canonical_revoked
hi,Devanagari,1.31596862119399,0.2570806666112543,369,2340,112815,148461,577488,gemma3,canonical_revoked
ig,Latin,2.413900797819483,0.4908747640025173,322,2340,105663,255060,519603,gemma3,canonical_revoked
it,Latin,1.6288511463513808,0.2546354248161477,429,2340,95913,156228,613536,gemma3,canonical_revoked
ko,Hangul,2.3174989144594007,0.5882897579471804,400,2340,69090,160116,272172,gemma3,canonical_revoked
ru,Cyrillic,1.912532322013446,0.2745168872943214,499,2340,87015,166419,606225,gemma3,canonical_revoked
tr,Latin,2.0260966772029914,0.28370405954649236,509,2340,77826,157683,555801,gemma3,canonical_revoked
ur,Arabic,1.4248230838233829,0.30634593233505664,385,2340,120396,171543,559965,gemma3,canonical_revoked
yo,Latin,2.9239251171737424,0.5975417324142513,295,2340,110733,323775,541845,gemma3,canonical_revoked
de,Latin,1.974908088235294,0.2793984747316477,5329,1012,21760,42974,153809,llama3,flores
en,Latin,1.2406282818136158,0.20589394237909764,6915,1012,21901,27171,131966,llama3,flores
hi,Devanagari,2.6717622743048786,0.5227609150147263,1206,1012,25643,68512,131058,llama3,flores
ig,Latin,2.6171690010835977,0.4846313912009512,2939,1012,24917,65212,134560,llama3,flores
it,Latin,1.8308995927769323,0.2850747415747608,5023,1012,24311,44511,156138,llama3,flores
ko,Hangul,2.620803629293584,0.6130372167058289,2841,1012,15430,40439,65965,llama3,flores
ru,Cyrillic,2.234342406512338,0.30905866456480124,4255,1012,19655,43916,142096,llama3,flores
tr,Latin,2.1633823612925207,0.28060548025928106,5336,1012,17609,38095,135760,llama3,flores
ur,Arabic,3.0199616678118106,0.6427928170629392,1787,1012,27653,83511,129919,llama3,flores
yo,Latin,2.933706260414187,0.5829759389486299,2910,1012,25206,73947,126844,llama3,flores
de,Latin,1.8469687300574347,0.2741602409866813,501,2340,94020,173652,633396,llama3,canonical_active
en,Latin,1.2702914446881854,0.22691013720408199,312,2340,95730,121605,535917,llama3,canonical_active
hi,Devanagari,2.5957718388512165,0.5066856300479621,320,2340,112815,292842,577956,llama3,canonical_active
ig,Latin,2.645540764922748,0.5412825547449458,310,2340,106599,282012,521007,llama3,canonical_active
it,Latin,1.9447744774477447,0.30509970610860176,473,2340,95445,185619,608388,llama3,canonical_active
ko,Hangul,2.5254016500217107,0.6443892926786031,424,2340,69090,174480,270768,llama3,canonical_active
ru,Cyrillic,2.2104464747457335,0.3180147514719231,511,2340,87015,192342,604821,llama3,canonical_active
tr,Latin,2.0987124463519313,0.2943027066657183,514,2340,76890,161370,548313,llama3,canonical_active
ur,Arabic,2.9356113668200923,0.6324213339943846,285,2340,119928,352062,556689,llama3,canonical_active
yo,Latin,3.307658963452629,0.6759626830551172,271,2340,110733,366267,541845,llama3,canonical_active
de,Latin,1.8668793873643905,0.27488160565286024,507,2340,94020,175524,638544,llama3,canonical_revoked
en,Latin,1.2702914446881854,0.22533590531833875,312,2340,95730,121605,539661,llama3,canonical_revoked
hi,Devanagari,2.5957718388512165,0.5070962513506774,320,2340,112815,292842,577488,llama3,canonical_revoked
ig,Latin,2.6689758950626046,0.5427451342659685,313,2340,105663,282012,519603,llama3,canonical_revoked
it,Latin,1.9548027900284632,0.30559086997340007,477,2340,95913,187491,613536,llama3,canonical_revoked
ko,Hangul,2.5321754233608336,0.6427847096688859,424,2340,69090,174948,272172,llama3,canonical_revoked
ru,Cyrillic,2.2373383899327703,0.3211381912656192,511,2340,87015,194682,606225,llama3,canonical_revoked
tr,Latin,2.1095520777118186,0.29538989674361865,519,2340,77826,164178,555801,llama3,canonical_revoked
ur,Arabic,2.931974484202133,0.6303929709892583,290,2340,120396,352998,559965,llama3,canonical_revoked
yo,Latin,3.2611687572810273,0.666461811034521,273,2340,110733,361119,541845,llama3,canonical_revoked
de,Latin,1.9787683823529412,0.2799446066224993,5296,1012,21760,43058,153809,qwen3,flores
en,Latin,1.2611752887995982,0.20930391161359743,6815,1012,21901,27621,131966,qwen3,flores
hi,Devanagari,4.755956791327068,0.930557463107937,246,1012,25643,121957,131058,qwen3,flores
ig,Latin,2.6426536099851505,0.4893504756242568,2797,1012,24917,65847,134560,qwen3,flores
it,Latin,1.847106248200403,0.28759815035417385,4913,1012,24311,44905,156138,qwen3,flores
ko,Hangul,2.917692806221646,0.6824831349958311,2313,1012,15430,45020,65965,qwen3,flores
ru,Cyrillic,2.4660900534215213,0.3411144578313253,3179,1012,19655,48471,142096,qwen3,flores
tr,Latin,2.546709069225964,0.33032557454331174,4206,1012,17609,44845,135760,qwen3,flores
ur,Arabic,3.1447220916356273,0.6693478244136731,945,1012,27653,86961,129919,qwen3,flores
yo,Latin,2.9447750535586765,0.585175491154489,2770,1012,25206,74226,126844,qwen3,flores
de,Latin,1.84617102744097,0.27404183165034196,502,2340,94020,173577,633396,qwen3,canonical_active
en,Latin,1.2702914446881854,0.22691013720408199,312,2340,95730,121605,535917,qwen3,canonical_active
hi,Devanagari,4.687940433452998,0.9150696592820214,113,2340,112815,528870,577956,qwen3,canonical_active
ig,Latin,2.6173979118002983,0.5355244747191497,307,2340,106599,279012,521007,qwen3,canonical_active
it,Latin,1.9472890146157473,0.30549419120692717,473,2340,95445,185859,608388,qwen3,canonical_active
ko,Hangul,2.640034737299175,0.6736394256337529,410,2340,69090,182400,270768,qwen3,canonical_active
