language_1,language_2,jaccard,model,source
de,de,1.0,gemma3,flores
en,de,0.10696321911348633,gemma3,flores
hi,de,0.008109397360470663,gemma3,flores
ig,de,0.14666377816291162,gemma3,flores
it,de,0.12423902595322012,gemma3,flores
ko,de,0.03558920965451964,gemma3,flores
ru,de,0.013776857734313655,gemma3,flores
tr,de,0.14302181237808123,gemma3,flores
ur,de,0.009155937052932762,gemma3,flores
yo,de,0.12832517556927006,gemma3,flores
de,en,0.10696321911348633,gemma3,flores
en,en,1.0,gemma3,flores
hi,en,0.009181266846361186,gemma3,flores
ig,en,0.15112353009663523,gemma3,flores
it,en,0.12730346576500423,gemma3,flores
ko,en,0.042442748091603054,gemma3,flores
ru,en,0.015034202811395926,gemma3,flores
tr,en,0.11413689116330074,gemma3,flores
ur,en,0.0103261425212146,gemma3,flores
yo,en,0.1598360655737705,gemma3,flores
de,hi,0.008109397360470663,gemma3,flores
en,hi,0.009181266846361186,gemma3,flores
hi,hi,1.0,gemma3,flores
ig,hi,0.013502210538893536,gemma3,flores
it,hi,0.008026360256843529,gemma3,flores
ko,hi,0.009827448291623814,gemma3,flores
ru,hi,0.00715950715950716,gemma3,flores
tr,hi,0.009640584050917259,gemma3,flores
ur,hi,0.007008790686623901,gemma3,flores
yo,hi,0.012386850881372083,gemma3,flores
de,ig,0.14666377816291162,gemma3,flores
en,ig,0.15112353009663523,gemma3,flores
hi,ig,0.013502210538893536,gemma3,flores
ig,ig,1.0,gemma3,flores
it,ig,0.15934001178550383,gemma3,flores
ko,ig,0.05789143395042359,gemma3,flores
ru,ig,0.01842614272625471,gemma3,flores
tr,ig,0.2095450118269097,gemma3,flores
ur,ig,0.014946732389887104,gemma3,flores
yo,ig,0.31729385153197615,gemma3,flores
de,it,0.12423902595322012,gemma3,flores
en,it,0.12730346576500423,gemma3,flores
hi,it,0.008026360256843529,gemma3,flores
ig,it,0.15934001178550383,gemma3,flores
it,it,1.0,gemma3,flores
ko,it,0.03735368956743002,gemma3,flores
